epoch,global_step,layer,fwd_ms,recompute_fwd_ms,bwd_ms,fwd_calls_phase_fwd,fwd_calls_phase_bwd
0,0,0,9.401024,0.000000,13.440736,1,0
0,0,1,4.470016,0.000000,13.641856,1,0
0,0,2,4.805632,0.000000,13.862688,1,0
0,0,3,4.765760,0.000000,13.527712,1,0
0,0,4,6.744096,0.000000,13.475616,1,0
0,0,5,5.297952,0.000000,14.120800,1,0
0,0,6,5.836800,0.000000,13.962720,1,0
0,0,7,5.028000,0.000000,13.676224,1,0
0,0,8,10.217472,0.000000,15.092768,1,0
0,0,9,4.381312,0.000000,14.652832,1,0
0,0,10,5.118752,0.000000,15.336448,1,0
0,0,11,5.021792,0.000000,13.789152,1,0
0,0,12,4.632800,0.000000,14.725024,1,0
0,0,13,5.117568,0.000000,16.705153,1,0
0,0,14,4.114400,0.000000,13.036288,1,0
0,0,15,4.593792,0.000000,17.736897,1,0
0,0,16,5.784416,0.000000,12.161120,1,0
0,0,17,4.668992,0.000000,14.317728,1,0
0,0,18,4.739328,0.000000,13.579520,1,0
0,0,19,4.385696,0.000000,13.251168,1,0
0,0,20,4.135936,0.000000,13.212800,1,0
0,0,21,4.589088,0.000000,14.288896,1,0
0,0,22,4.862112,0.000000,14.151968,1,0
0,0,23,5.054240,0.000000,12.885248,1,0
0,0,24,4.046528,0.000000,11.979488,1,0
0,0,25,4.606464,0.000000,12.674304,1,0
0,0,26,4.958080,0.000000,14.231648,1,0
0,0,27,4.723840,0.000000,12.122208,1,0
0,1,0,5.501312,0.000000,12.004192,1,0
0,1,1,6.059008,0.000000,12.126240,1,0
0,1,2,5.102912,0.000000,11.849024,1,0
0,1,3,6.826400,0.000000,12.091872,1,0
0,1,4,6.346720,0.000000,12.876768,1,0
0,1,5,5.962368,0.000000,12.318496,1,0
0,1,6,6.562816,0.000000,15.247360,1,0
0,1,7,6.244256,0.000000,12.539776,1,0
0,1,8,5.095808,0.000000,14.967552,1,0
0,1,9,5.389152,0.000000,15.140960,1,0
0,1,10,5.523520,0.000000,14.847360,1,0
0,1,11,3.578656,0.000000,12.459712,1,0
0,1,12,5.221248,0.000000,12.102272,1,0
0,1,13,4.426400,0.000000,11.964736,1,0
0,1,14,5.626944,0.000000,12.476256,1,0
0,1,15,3.890208,0.000000,15.450496,1,0
0,1,16,5.225056,0.000000,13.407360,1,0
0,1,17,4.579936,0.000000,13.023904,1,0
0,1,18,4.853760,0.000000,13.616384,1,0
0,1,19,5.404800,0.000000,12.815584,1,0
0,1,20,5.526464,0.000000,12.300608,1,0
0,1,21,3.460160,0.000000,12.354784,1,0
0,1,22,5.292128,0.000000,12.086816,1,0
0,1,23,4.552640,0.000000,13.155072,1,0
0,1,24,5.052192,0.000000,13.081504,1,0
0,1,25,4.997792,0.000000,9.558272,1,0
0,1,26,3.873760,0.000000,5.073856,1,0
0,1,27,4.638656,0.000000,5.227680,1,0
0,2,0,4.393280,0.000000,12.208704,1,0
0,2,1,4.866912,0.000000,12.244800,1,0
0,2,2,4.984704,0.000000,12.578336,1,0
0,2,3,4.681824,0.000000,11.852064,1,0
0,2,4,5.709728,0.000000,12.000032,1,0
0,2,5,3.627168,0.000000,12.636800,1,0
0,2,6,4.574688,0.000000,11.741248,1,0
0,2,7,4.711712,0.000000,12.500480,1,0
0,2,8,5.077856,0.000000,13.079424,1,0
0,2,9,5.189696,0.000000,13.143264,1,0
0,2,10,4.170848,0.000000,12.810528,1,0
