run_tag,step,t_ms,gpu_alloc_gib,gpu_reserved_gib,cpu_rss_gib
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,54.077,6.517396,13.833984,1.429024
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,81.301,7.859223,13.833984,1.429024
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,107.778,9.001390,13.833984,1.429024
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,134.241,9.474688,13.833984,1.429020
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,160.572,9.605676,13.833984,1.429020
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,187.324,9.605676,13.833984,1.429020
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,213.472,9.605676,13.833984,1.429020
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,239.846,9.605676,13.833984,1.429024
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,266.482,9.605676,13.833984,1.429024
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,293.096,9.605676,13.833984,1.429031
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,319.801,9.605676,13.833984,1.429031
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,345.991,10.763895,13.833984,1.429047
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,372.185,10.763895,13.833984,1.429085
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,399.120,10.763895,13.833984,1.429108
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,425.671,9.065359,13.833984,1.429287
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,452.528,8.599641,13.833984,1.429287
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,479.183,8.579744,13.833984,1.429287
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,505.482,8.470057,13.833984,1.429287
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,532.129,8.341021,13.833984,1.429287
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,558.409,8.266616,13.833984,1.429287
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,584.762,8.149117,13.833984,1.429287
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,611.337,8.023809,13.833984,1.429287
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,637.720,7.882868,13.833984,1.429287
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,664.457,7.741931,13.833984,1.429287
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,691.166,7.616620,13.833984,1.429306
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,717.700,7.514749,13.833984,1.429306
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,744.583,7.381625,13.833984,1.429306
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,770.807,7.287563,13.833984,1.429306
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,797.055,7.186000,13.833984,1.429306
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,823.367,7.084122,13.833984,1.429306
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,849.668,6.966627,13.833984,1.429306
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,876.141,6.833502,13.833984,1.429306
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,902.522,6.700378,13.833984,1.429306
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,928.692,6.575066,13.833984,1.429306
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,955.017,6.469468,13.833984,1.429306
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,981.492,6.355692,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,1008.138,6.238505,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,1034.650,6.085720,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,1061.196,5.933064,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,1088.005,6.433855,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,1114.778,6.433854,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,1141.354,6.433854,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,1167.799,6.433854,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,1194.004,6.433854,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,1220.227,6.433854,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,1246.788,6.433854,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,1273.242,6.433854,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,1300.424,6.433854,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,1,1327.021,6.433854,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,1.059,3.229020,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,27.487,4.471543,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,54.489,6.525208,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,81.073,8.535722,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,107.417,9.017015,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,133.862,9.474688,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,160.344,9.605676,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,186.622,9.605676,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,212.775,9.605676,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,239.379,9.605676,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,265.643,9.605676,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,291.937,9.605676,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,318.352,10.763895,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,344.918,10.763895,13.833984,1.429314
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,371.560,10.763895,13.833984,1.429321
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,398.136,8.971304,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,424.985,8.599641,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,451.061,8.579744,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,477.851,8.438807,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,504.332,8.423178,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,531.121,8.223461,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,557.529,8.070806,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,583.937,7.953185,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,610.616,7.835685,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,637.089,7.686936,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,663.809,7.523172,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,690.356,7.424715,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,717.088,7.272120,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,743.439,7.131123,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,769.691,7.084122,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,796.007,6.950998,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,822.891,6.833502,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,849.500,6.708190,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,875.853,6.582879,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,902.184,6.504442,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,928.424,6.336527,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,954.645,6.285376,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,980.764,6.152252,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,1007.139,6.019127,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,1033.908,6.433854,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,1060.716,6.433854,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,1086.978,6.433854,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,1113.535,6.433854,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,1139.893,6.433854,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,1166.348,6.433854,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,1192.785,6.433854,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,1219.053,6.433854,13.833984,1.429379
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,2,1245.976,6.433854,13.833984,1.429379
