step,wall_ms,fwd_ms,head_fwd_ms,head_bwd_ms,bwd_ms,optim_ms,loss,peak_alloc_gib,peak_reserved_gib,cpu_rss_gib
0,1257.5696999992942,313.5283203125,57.94713592529297,nan,851.7222290039062,33.26668930053711,13.08974838256836,13.080285549163818,13.833984375,1.4289169311523438
1,1338.263800003915,338.2432556152344,64.08089447021484,nan,893.1471557617188,41.33580780029297,13.034591674804688,13.080285549163818,13.833984375,1.429290771484375
2,1286.2541999929817,314.0482177734375,60.79385757446289,nan,875.6213989257812,35.03615951538086,12.983721733093262,13.080285549163818,13.833984375,1.4293556213378906
3,1308.9184000127716,320.7001647949219,59.858943939208984,nan,890.9496459960938,36.69606399536133,12.942670822143555,13.080285549163818,13.833984375,1.4295501708984375
4,1261.4310999924783,309.29510498046875,60.19481658935547,nan,855.8192749023438,34.89689636230469,12.906844139099121,13.080285549163818,13.833984375,1.4297142028808594
5,1275.951300005545,332.01220703125,65.728515625,nan,842.2911987304688,35.20819091796875,12.874221801757812,13.080285549163818,13.833984375,1.4298286437988281
6,1237.597300001653,312.4630126953125,59.28345489501953,nan,831.0517578125,34.146305084228516,12.843905448913574,13.080285549163818,13.833984375,1.4298934936523438
7,1235.4044999956386,308.0721740722656,61.297664642333984,nan,832.3983154296875,32.956417083740234,12.815855979919434,13.080285549163818,13.833984375,1.4299278259277344
8,1239.5852000045124,310.80908203125,60.281856536865234,nan,833.8841552734375,33.99270248413086,12.791356086730957,13.080285549163818,13.833984375,1.4299278259277344
9,1242.454400009592,308.15771484375,61.42156982421875,nan,836.895751953125,35.32902526855469,12.76855754852295,13.080285549163818,13.833984375,1.4299812316894531
10,1243.5183000052348,312.9739074707031,59.21587371826172,nan,837.7241821289062,32.974849700927734,12.748302459716797,13.080285549163818,13.833984375,1.4299812316894531
11,1282.3637000110466,308.71563720703125,59.33875274658203,nan,878.376953125,35.04127883911133,12.729022026062012,13.080285549163818,13.833984375,1.4299888610839844
12,1273.4155999933137,311.5104064941406,62.54694366455078,nan,863.6723022460938,35.02489471435547,12.712043762207031,13.080285549163818,13.833984375,1.4299888610839844
13,1303.198199995677,307.5455627441406,58.69363021850586,nan,900.9663696289062,34.86822509765625,12.697179794311523,13.080285549163818,13.833984375,1.42999267578125
14,1271.8710000044666,348.5205078125,61.8158073425293,nan,825.3193969726562,35.38022232055664,12.680719375610352,13.080285549163818,13.833984375,1.42999267578125
15,1266.7364999942947,310.40887451171875,59.812862396240234,nan,862.4885864257812,33.18272018432617,12.668063163757324,13.080285549163818,13.833984375,1.4300193786621094
16,1264.3630999955349,308.38775634765625,61.218814849853516,nan,857.47607421875,36.36531066894531,12.653556823730469,13.080285549163818,13.833984375,1.4300193786621094
17,1256.7295999906491,322.49859619140625,59.624446868896484,nan,840.9651489257812,32.9431037902832,12.641158103942871,13.080285549163818,13.833984375,1.430023193359375
18,1239.2120999866165,308.27191162109375,60.391422271728516,nan,833.4295043945312,36.43494415283203,12.629256248474121,13.080285549163818,13.833984375,1.4300270080566406
19,1256.1658000049647,316.24127197265625,60.411903381347656,nan,842.9926147460938,35.88198471069336,12.617627143859863,13.080285549163818,13.833984375,1.4300346374511719
20,1326.3182999944547,332.3094482421875,66.74636840820312,nan,892.4016723632812,34.18931198120117,12.60582160949707,13.080285549163818,13.833984375,1.4300346374511719
21,1277.3682000115514,309.36370849609375,59.10220718383789,nan,875.5056762695312,32.62873458862305,12.596439361572266,13.080285549163818,13.833984375,1.4300689697265625
22,1292.545499993139,309.2292785644531,59.386878967285156,nan,890.0740966796875,33.117183685302734,12.585397720336914,13.080285549163818,13.833984375,1.4300689697265625
23,1239.0577000041958,308.0575256347656,62.14451217651367,nan,832.9676513671875,34.511871337890625,12.575859069824219,13.080285549163818,13.833984375,1.4301605224609375
24,1306.509999994887,309.521240234375,60.548095703125,nan,900.8629760742188,34.67878341674805,12.567103385925293,13.080285549163818,13.833984375,1.4304885864257812
25,1246.4005000074394,311.75421142578125,60.036094665527344,nan,838.7451171875,34.42790222167969,12.557771682739258,13.080285549163818,13.833984375,1.4306411743164062
26,1285.497300006682,318.099609375,61.702144622802734,nan,871.8110961914062,33.133567810058594,12.549480438232422,13.080285549163818,13.833984375,1.4306564331054688
27,1356.5090000047348,326.7160339355469,64.50994873046875,nan,927.1613159179688,37.28486251831055,12.540887832641602,13.080285549163818,13.833984375,1.4306716918945312
28,1385.5560000083642,351.4176330566406,67.23481750488281,nan,925.0549926757812,40.69478225708008,12.53255558013916,13.080285549163818,13.833984375,1.4306716918945312
29,1384.2518000019481,355.1834411621094,64.84172821044922,nan,927.0794067382812,35.68537521362305,12.524264335632324,13.080285549163818,13.833984375,1.4308128356933594
