iter,mode,t_ms,cpu_rss_gib,gpu_alloc_gib,gpu_reserved_gib
0,slide,679.115,3.506577,0.776761,0.808594
0,slide,684.931,3.532333,0.776761,0.808594
0,slide,690.970,3.565289,0.776761,0.808594
0,slide,697.044,3.590790,0.776761,0.808594
0,slide,703.617,3.613140,0.781643,0.808594
0,slide,709.666,3.613148,0.777737,0.808594
0,slide,716.223,3.613285,0.777737,0.808594
0,slide,721.963,3.636715,0.776761,0.808594
0,slide,727.542,3.669056,0.776761,0.808594
0,slide,733.531,3.690479,0.776761,0.808594
0,slide,739.397,3.718369,0.776761,0.808594
0,slide,745.498,3.731247,0.776761,0.808594
0,slide,751.409,3.744370,0.776761,0.808594
0,slide,757.332,3.771832,0.776761,0.808594
0,slide,763.326,3.781658,0.776761,0.808594
0,slide,769.184,3.791790,0.776761,0.808594
0,slide,775.215,3.820660,0.776761,0.808594
0,slide,781.922,3.824203,0.777737,0.808594
0,slide,787.527,3.824203,0.777737,0.808594
0,slide,793.103,3.824203,0.777737,0.808594
0,slide,798.899,3.839424,0.776761,0.808594
0,slide,804.505,3.862461,0.776761,0.808594
0,slide,810.091,3.892609,0.776761,0.808594
0,slide,815.791,3.925747,0.776761,0.808594
0,slide,821.908,3.953274,0.776761,0.808594
0,slide,827.943,3.984039,0.776761,0.808594
0,slide,833.942,4.008942,0.776761,0.808594
0,slide,840.438,4.037079,0.778714,0.808594
0,slide,846.044,4.037079,0.777737,0.808594
0,slide,851.714,4.037079,0.777737,0.808594
0,slide,857.676,4.044098,0.776761,0.808594
0,slide,863.394,4.075825,0.776761,0.808594
0,slide,869.181,4.102921,0.776761,0.808594
0,slide,875.415,4.136425,0.776761,0.808594
0,slide,881.880,4.165966,0.776761,0.808594
0,slide,887.625,4.200752,0.776761,0.808594
0,slide,893.558,4.237030,0.776761,0.808594
0,slide,899.668,4.248131,0.777737,0.808594
0,slide,905.647,4.248131,0.777737,0.808594
0,slide,911.916,4.248131,0.777737,0.808594
0,slide,917.701,4.273514,0.776761,0.808594
0,slide,923.342,4.306587,0.776761,0.808594
0,slide,928.890,4.338501,0.776761,0.808594
0,slide,935.429,4.371647,0.776761,0.808594
0,slide,941.212,4.404358,0.776761,0.808594
0,slide,947.143,4.434021,0.776761,0.808594
0,slide,952.958,4.460995,0.780667,0.808594
0,slide,958.760,4.460995,0.777737,0.808594
0,slide,964.487,4.460995,0.777737,0.808594
0,slide,970.702,4.474895,0.776761,0.808594
0,slide,976.678,4.507915,0.776761,0.808594
0,slide,982.461,4.538799,0.776761,0.808594
0,slide,988.298,4.576881,0.776761,0.808594
0,slide,993.907,4.613590,0.776761,0.808594
0,slide,1000.156,4.638340,0.776761,0.808594
0,slide,1006.117,4.671967,0.778717,0.808594
