mode,ms_mean,ms_p50,ms_p95,peak_alloc_gib_mean,peak_reserved_gib_mean,peak_alloc_gib_max,peak_reserved_gib_max
full,122.81868000209215,122.76390001352411,125.43910001113545,4.660633087158203,5.841796875,4.660916328430176,5.841796875
chunked,214.46953499762458,207.8866000083508,238.09139999502804,0.8925614356994629,5.841796875,0.8925614356994629,5.841796875
