layer,mean,lo,hi,n
0,5.156741517241379,4.53347931415356,5.780003720329198,29
1,4.283006896551724,3.669671532363778,4.89634226073967,29
2,4.496822068965517,3.9539311990897725,5.0397129388412605,29
3,4.232832,3.742019661987584,4.7236443380124165,29
4,4.3076148965517245,3.8657591928820403,4.749470600221408,29
5,4.047124965517241,3.600918695259186,4.493331235775297,29
6,4.551118344827586,4.004816532873358,5.097420156781814,29
7,4.244633379310345,3.6165338771842306,4.87273288143646,29
8,4.443787034482758,3.8475356958308984,5.040038373134618,29
9,4.759704275862069,4.121656226248621,5.397752325475517,29
10,4.127048827586207,3.6185445729638452,4.635553082208569,29
11,4.384587034482759,3.9454626768350365,4.82371139213048,29
12,4.337937655172413,3.845670216765656,4.8302050935791705,29
13,4.222217931034483,3.7044431696298363,4.739992692439129,29
14,4.18257875862069,3.7336584314697636,4.631499085771617,29
15,4.041539310344827,3.5446977719125083,4.538380848777146,29
16,4.290011586206896,3.800965911790611,4.779057260623182,29
17,4.048832,3.5866987834400836,4.510965216559916,29
18,3.8990146206896554,3.5190915696218323,4.278937671757479,29
19,4.148299034482759,3.6402371099913307,4.656360958974187,29
20,4.0119106206896555,3.5187039408509335,4.5051173005283776,29
21,4.164730482758621,3.7377731082601997,4.5916878572570425,29
22,3.946033655172414,3.629436824106384,4.262630486238444,29
23,4.146315034482759,3.756743177444264,4.535886891521255,29
24,4.083527724137931,3.7068563933805248,4.460199054895337,29
25,4.44355751724138,3.835906106895933,5.051208927586826,29
26,4.276353103448276,3.744558509425035,4.808147697471517,29
27,4.388340965517242,3.9014482641256545,4.875233666908829,29
