layer,mean,lo,hi,n
0,10.410230068965518,9.665521794662904,11.154938343268132,29
1,10.571956965517241,9.773460564431213,11.37045336660327,29
2,10.464602482758622,9.739811444387348,11.189393521129896,29
3,10.193094620689655,9.57584101540108,10.81034822597823,29
4,10.546457379310345,9.914140130746825,11.178774627873866,29
5,10.597172965517242,9.93424668760377,11.260099243430714,29
6,10.497019586206896,9.801636495305152,11.19240267710864,29
7,10.699403034482758,10.07357569046977,11.325230378495746,29
8,10.448356413793103,9.82295824251486,11.073754585071347,29
9,10.485789793103448,9.786179912463918,11.185399673742978,29
10,10.48670124137931,9.82020547821486,11.15319700454376,29
11,10.38692524137931,9.808226200443464,10.965624282315154,29
12,10.441276689655172,9.799688405919692,11.082864973390652,29
13,10.304275862068966,9.634853602201623,10.973698121936309,29
14,10.353344,9.72644574169412,10.98024225830588,29
15,10.245366068965517,9.491496829594475,10.999235308336559,29
16,10.229480827586206,9.654454621207789,10.804507033964624,29
17,10.601729103448276,9.94589257794649,11.257565628950063,29
18,10.523804689655172,9.869250968800888,11.178358410509457,29
19,10.290513655172413,9.667906912484257,10.913120397860569,29
20,10.789624275862069,10.069038801002204,11.510209750721934,29
21,10.478554482758621,9.867957037450527,11.089151928066716,29
22,10.24691751724138,9.586599253517154,10.907235780965607,29
23,10.08257103448276,9.062871523453772,11.102270545511747,29
24,7.946862344827586,6.640799539232702,9.25292515042247,29
25,6.377244689655173,5.594128096264139,7.160361283046207,29
26,5.144441379310345,5.0319407309577295,5.256942027662961,29
27,5.160525241379311,5.04479925051645,5.276251232242172,29
