layer,mean,lo,hi,n
0,14.870056827586208,13.952951151811885,15.78716250336053,29
1,15.08556248275862,14.156707708125088,16.014417257392154,29
2,14.72683696551724,13.72946181218875,15.72421211884573,29
3,14.597836137931035,13.724674928812227,15.470997347049842,29
4,15.237156413793102,14.50177203299651,15.972540794589694,29
5,14.971944827586206,14.12976243199568,15.814127223176733,29
6,14.885762206896551,13.8772566646059,15.894267749187202,29
7,15.109935448275863,14.3453297366348,15.874541159916925,29
8,14.710784,13.859923331327064,15.561644668672937,29
9,14.694977103448275,13.80556880276148,15.584385404135071,29
10,14.85723475862069,14.088747076920761,15.625722440320619,29
11,14.439951448275862,13.716449345247945,15.163453551303778,29
12,18.68646848275862,10.476353790567632,26.89658317494961,29
13,14.675390896551725,13.840807627362405,15.509974165741045,29
14,14.500844137931034,13.708143344064196,15.293544931797873,29
15,14.359439448275863,13.41855365972576,15.300325236825966,29
16,14.708118068965517,13.939506521704468,15.476729616226566,29
17,14.72397351724138,13.810866562169533,15.637080472313226,29
18,15.13983227586207,14.239421609103212,16.040242942620928,29
19,14.339133793103448,13.513216657242696,15.1650509289642,29
20,15.096932413793104,14.20287653841495,15.990988289171257,29
21,14.769379310344828,13.971801665795757,15.566956954893898,29
22,14.611219862068966,13.780658086831577,15.441781637306354,29
23,14.587191172413794,13.40534697697668,15.769035367850908,29
24,12.280525241379312,10.82691055383647,13.734139928922154,29
25,10.731997793103448,9.711152927441663,11.752842658765232,29
26,9.489506206896552,9.23348257922447,9.745529834568634,29
27,9.381635310344828,9.087340191937933,9.675930428751723,29
