step,wall_ms,fwd_ms,head_fwd_ms,head_bwd_ms,bwd_ms,optim_ms,loss,peak_alloc_gib,peak_reserved_gib,cpu_rss_gib
0,1308.066499987035,309.3534851074219,79.37638092041016,nan,885.591064453125,32.6195182800293,13.088033676147461,9.902480125427246,10.703125,1.4683723449707031
1,1311.2706999963848,301.36029052734375,82.82316589355469,nan,889.5221557617188,36.53120040893555,13.033226013183594,9.902480125427246,10.703125,1.4687423706054688
2,1377.9729000088992,323.4736022949219,85.52140808105469,nan,934.6703491210938,33.66502380371094,12.98348331451416,9.902494430541992,10.703125,1.4687919616699219
3,1305.259800006752,305.4762878417969,80.62464141845703,nan,886.1040649414062,32.332801818847656,12.94176197052002,9.902494430541992,10.703125,1.4689140319824219
4,1354.1848000022583,302.0195617675781,79.39891052246094,nan,930.440185546875,40.98969650268555,12.906517028808594,9.902494430541992,10.703125,1.4689979553222656
5,1321.879800001625,309.38470458984375,86.06924438476562,nan,892.74267578125,32.58777618408203,12.873453140258789,9.902494430541992,10.703125,1.4690742492675781
6,1381.987400003709,323.4673156738281,84.89266967773438,nan,940.32177734375,32.15359878540039,12.84431266784668,9.902494430541992,10.703125,1.4690742492675781
7,1303.1827000086196,306.0172424316406,80.6297607421875,nan,880.6051635742188,35.29830551147461,12.81480598449707,9.902494430541992,10.703125,1.4690933227539062
8,1351.5616000076989,311.6661376953125,85.465087890625,nan,911.2340698242188,42.482688903808594,12.79015064239502,9.902494430541992,10.703125,1.4691085815429688
9,1422.3684999888064,340.08148193359375,97.12435150146484,nan,950.7584228515625,33.748992919921875,12.7688627243042,9.902494430541992,10.703125,1.4691390991210938
10,1389.4478000001982,348.270263671875,86.77273559570312,nan,921.0767211914062,32.652286529541016,12.748104095458984,9.902494430541992,10.703125,1.4691429138183594
11,1330.731800000649,302.65167236328125,84.50969696044922,nan,910.4865112304688,32.491519927978516,12.728846549987793,9.902494430541992,10.703125,1.4691658020019531
12,1350.4153999965638,298.86407470703125,102.35699462890625,nan,912.4147338867188,36.00486373901367,12.712014198303223,9.902494430541992,10.703125,1.4691810607910156
13,1354.4160000019474,322.2840881347656,93.47277069091797,nan,902.751220703125,35.00543975830078,12.696504592895508,9.902494430541992,10.703125,1.4691848754882812
14,1373.094000009587,322.70989990234375,87.70252990722656,nan,926.2008056640625,35.67206573486328,12.680811882019043,9.902494430541992,10.703125,1.4691963195800781
15,1381.534100000863,311.9285888671875,90.86873626708984,nan,940.5890502929688,37.60435104370117,12.668111801147461,9.902494430541992,10.703125,1.4692115783691406
16,1384.288799992646,309.86151123046875,90.77657318115234,nan,950.4788208007812,32.5847053527832,12.654988288879395,9.902494430541992,10.703125,1.4692230224609375
17,1340.2149000030477,320.3499755859375,92.2767333984375,nan,893.8956909179688,33.09977722167969,12.641716003417969,9.902494430541992,10.703125,1.4692497253417969
18,1355.6137999985367,301.9111022949219,84.61516571044922,nan,935.0430908203125,33.01068878173828,12.628182411193848,9.902494430541992,10.703125,1.4692611694335938
19,1371.6005999885965,319.008544921875,84.98687744140625,nan,932.4205932617188,34.50368118286133,12.617178916931152,9.902494430541992,10.703125,1.4693031311035156
20,1325.4672000039136,309.643798828125,84.41958618164062,nan,896.2457885742188,34.574337005615234,12.606036186218262,9.902494430541992,10.703125,1.4693031311035156
21,1413.4892000001855,309.25018310546875,98.70233917236328,nan,969.0614013671875,35.84307098388672,12.596796989440918,9.902494430541992,10.703125,1.4693717956542969
22,1435.2255999983754,333.5704650878906,95.78291320800781,nan,970.6813354492188,34.548736572265625,12.586406707763672,9.902494430541992,10.703125,1.4697227478027344
23,1365.764299989678,315.7466735839844,88.08448028564453,nan,928.0,33.21958541870117,12.577345848083496,9.902494430541992,10.703125,1.4697723388671875
24,1316.0426999966148,309.13690185546875,86.12044525146484,nan,886.9775390625,33.075199127197266,12.567018508911133,9.902494430541992,10.703125,1.4697723388671875
25,1333.1215999933193,304.15771484375,84.1902084350586,nan,909.2239379882812,34.930686950683594,12.558544158935547,9.902494430541992,10.703125,1.4698982238769531
26,1402.9369999916526,334.2000732421875,89.1484146118164,nan,940.0381469726562,38.774784088134766,12.549007415771484,9.902494430541992,10.703125,1.4700393676757812
27,1521.6910000017378,356.1204528808594,97.26054382324219,nan,1030.264892578125,37.35347366333008,12.540966033935547,9.902494430541992,10.703125,1.4700660705566406
28,1482.1755000011763,346.50091552734375,89.23238372802734,nan,1007.1500854492188,38.53004837036133,12.53258991241455,9.902494430541992,10.703125,1.4700660705566406
29,1372.4393000011332,339.5197448730469,84.48512268066406,nan,911.5350952148438,35.97004699707031,12.524136543273926,9.902494430541992,10.703125,1.4700965881347656
