run_tag,step,t_ms,gpu_alloc_gib,gpu_reserved_gib,cpu_rss_gib
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,1245.740,6.434342,10.703125,1.468315
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,1272.146,6.434342,10.703125,1.468315
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,0,1298.968,6.434342,10.703125,1.468319
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,0.874,3.229020,10.703125,1.468430
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,27.110,4.901811,10.703125,1.468456
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,53.332,7.178452,10.703125,1.468456
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,79.770,8.528031,10.703125,1.468456
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,106.196,9.236146,10.703125,1.468456
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,132.877,9.498246,10.703125,1.468456
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,159.486,9.605676,10.703125,1.468456
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,186.188,9.605676,10.703125,1.468456
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,212.613,9.605676,10.703125,1.468456
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,238.776,9.605676,10.703125,1.468460
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,265.006,9.605676,10.703125,1.468468
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,291.314,9.605676,10.703125,1.468472
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,317.909,9.707319,10.703125,1.468479
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,344.256,9.707320,10.703125,1.468491
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,370.791,9.707319,10.703125,1.468525
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,397.113,9.777480,10.703125,1.468708
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,424.000,9.777541,10.703125,1.468708
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,450.594,9.777542,10.703125,1.468708
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,476.702,9.777541,10.703125,1.468708
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,502.931,9.777541,10.703125,1.468708
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,529.227,9.151608,10.703125,1.468708
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,555.415,8.430995,10.703125,1.468708
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,582.149,8.305683,10.703125,1.468708
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,608.166,8.235058,10.703125,1.468708
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,634.358,8.101934,10.703125,1.468708
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,660.946,7.914122,10.703125,1.468731
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,687.136,7.780998,10.703125,1.468735
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,714.032,7.702561,10.703125,1.468735
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,740.503,7.499124,10.703125,1.468735
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,766.856,7.420687,10.703125,1.468735
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,793.181,7.303188,10.703125,1.468735
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,819.721,7.170063,10.703125,1.468735
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,846.594,7.005871,10.703125,1.468735
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,873.085,6.903815,10.703125,1.468735
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,899.175,6.735778,10.703125,1.468735
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,925.524,6.692562,10.703125,1.468735
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,952.287,6.469468,10.703125,1.468746
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,978.733,6.386942,10.703125,1.468754
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,1005.305,6.199313,10.703125,1.468754
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,1031.401,6.072048,10.703125,1.468754
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,1057.941,5.940206,10.703125,1.468754
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,1084.244,6.434342,10.703125,1.468754
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,1110.493,6.434342,10.703125,1.468754
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,1136.820,6.434342,10.703125,1.468754
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,1163.020,6.434342,10.703125,1.468754
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,1189.483,6.434342,10.703125,1.468758
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,1215.836,6.434342,10.703125,1.468765
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,1242.601,6.434342,10.703125,1.468765
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,1268.965,6.434342,10.703125,1.468765
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,1,1296.106,6.434342,10.703125,1.468765
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,0.828,3.229020,10.703125,1.468796
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,27.326,4.772775,10.703125,1.468796
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,54.555,7.428834,10.703125,1.468796
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,81.030,8.320741,10.703125,1.468796
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,107.553,8.758821,10.703125,1.468796
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,133.968,9.255738,10.703125,1.468796
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,160.813,9.605676,10.703125,1.468796
20251225_231206_T1M3_headce_chunked_ckpt0_seq1024_bs2_bf16,2,186.947,9.605676,10.703125,1.468796
