iter,mode,t_ms,cpu_rss_gib,gpu_alloc_gib,gpu_reserved_gib
0,gpu,653.580,1.279289,4.894399,5.070312
0,gpu,659.280,1.279289,4.940754,5.117188
0,gpu,664.962,1.279305,5.006638,5.187500
0,gpu,671.519,1.279320,5.065719,5.257812
0,gpu,677.569,1.279320,5.129171,5.347656
0,gpu,683.529,1.279320,5.189199,5.417969
0,gpu,689.145,1.279320,5.241410,5.484375
0,gpu,694.932,1.279320,5.286788,5.531250
0,gpu,701.029,1.279320,5.334122,5.578125
0,gpu,706.827,1.279320,5.395136,5.648438
0,gpu,712.428,1.279320,5.456391,5.738281
0,gpu,718.471,1.279320,5.518631,5.808594
0,gpu,724.254,1.279320,5.533733,5.828125
0,gpu,730.543,1.279327,5.592811,5.898438
0,gpu,736.794,1.279350,5.655271,5.968750
0,gpu,742.599,1.279350,5.717268,6.039062
0,gpu,748.272,1.279350,5.747994,6.062500
0,gpu,754.122,1.279350,5.797276,6.128906
0,gpu,760.463,1.279350,5.852572,6.199219
0,gpu,766.197,1.279362,5.855475,6.199219
0,gpu,771.751,1.279362,5.855475,6.199219
0,gpu,777.517,1.279362,5.855475,6.199219
0,gpu,783.017,1.279362,5.855475,6.199219
0,gpu,788.814,1.279362,5.855475,6.199219
0,gpu,795.305,1.279366,5.855475,6.199219
0,gpu,801.323,1.279366,4.257677,6.199219
1,gpu,0.701,1.279591,3.316181,3.347656
1,gpu,6.404,1.280167,3.324024,3.349609
1,gpu,12.267,1.280167,3.352377,3.363281
1,gpu,18.107,1.280167,3.381599,3.392578
1,gpu,24.349,1.280167,3.408976,3.423828
1,gpu,30.350,1.280167,3.446630,3.457031
1,gpu,36.212,1.280167,3.474503,3.486328
1,gpu,42.958,1.280167,3.495522,3.511719
1,gpu,48.493,1.280167,3.522417,3.541016
1,gpu,54.517,1.280167,3.553219,3.574219
1,gpu,60.373,1.280167,3.587944,3.605469
1,gpu,66.243,1.280170,3.626557,3.636719
1,gpu,72.201,1.280170,3.657360,3.667969
1,gpu,78.101,1.280170,3.691122,3.699219
1,gpu,83.801,1.280418,3.719971,3.728516
1,gpu,89.895,1.280453,3.746386,3.759766
1,gpu,96.453,1.280483,3.775234,3.789062
1,gpu,102.496,1.280483,3.805052,3.820312
1,gpu,108.489,1.280838,3.835358,3.851562
1,gpu,114.540,1.280838,3.863230,3.880859
1,gpu,120.876,1.280960,3.893070,3.912109
1,gpu,126.385,1.280964,3.917509,3.941406
1,gpu,131.928,1.281178,3.949303,3.972656
1,gpu,137.671,1.281441,3.992801,4.003906
1,gpu,143.423,1.281754,4.019696,4.035156
1,gpu,149.885,1.281876,4.048545,4.064453
1,gpu,156.037,1.281998,4.075440,4.095703
1,gpu,161.847,1.282120,4.099406,4.103516
1,gpu,167.899,1.282322,4.113080,4.125000
1,gpu,174.319,1.282326,4.177986,4.195312
1,gpu,180.658,1.282326,4.243872,4.285156
1,gpu,186.609,1.282326,4.308786,4.355469
